id,regime,direction,entry,stop,target1,target2,confidence,outcome,r
1,opening,LONG,5400.0,5398.0,5402.0,5404.0,0.65,target2,2.0
2,opening,SHORT,7260.0,7262.0,7258.0,7256.0,0.65,stop,-1.0
3,opening,LONG,7270.75,7268.75,7272.75,7274.75,0.65,stop,-1.0
4,opening,SHORT,7281.0,7283.0,7279.0,7277.0,0.65,stop,-1.0
5,opening,LONG,7298.0,7296.0,7300.0,7302.0,0.65,stop,-1.0
6,opening,SHORT,7385.0,7387.0,7383.0,7381.0,0.65,target2,2.0
7,midday,LONG,7179.0,7177.0,7181.0,7183.0,0.65,target2,2.0
8,midday,SHORT,7273.0,7275.0,7271.0,7269.0,0.65,stop,-1.0
9,midday,LONG,7280.0,7278.0,7282.0,7284.0,0.65,stop,-1.0
10,midday,SHORT,7285.0,7287.0,7283.0,7281.0,0.65,stop,-1.0
11,midday,LONG,7290.25,7288.25,7292.25,7294.25,0.65,stop,-1.0
12,midday,SHORT,7385.75,7387.75,7383.75,7381.75,0.65,target2,2.0
13,afternoon,LONG,6927.0,6925.0,6929.0,6931.0,0.65,target2,2.0
14,afternoon,SHORT,7277.0,7279.0,7275.0,7273.0,0.65,stop,-1.0
15,afternoon,LONG,7287.5,7285.5,7289.5,7291.5,0.65,stop,-1.0
16,afternoon,SHORT,7294.75,7296.75,7292.75,7290.75,0.65,stop,-1.0
17,afternoon,LONG,7303.25,7301.25,7305.25,7307.25,0.65,stop,-1.0
18,afternoon,SHORT,7660.5,7662.5,7658.5,7656.5,0.65,stop,-1.0
